12,aunt's House,0,0,0,0:0:0,0,0,0,0:0:0,0,0,0,0:0:0,0:0:0,0,0,0,
12,aunt's House,0,0,0,0:0:0,0,0,0,13:36:49,1,0,0,0:0:0,01:36:49,action,stillUpdate,13:36:49,
12,aunt's House,0,0,0,0:0:0,0,0,0,13:36:49,2,0,0,0:0:0,01:36:51,action,stillUpdate,00:00:00,
12,aunt's House,0,0,0,0:0:0,0,0,0,13:36:49,3,0,0,0:0:0,01:36:52,action,stillUpdate,00:00:00,
12,aunt's House,0,0,0,0:0:0,0,0,0,13:36:49,4,0,0,0:0:0,01:36:53,action,stillUpdate,00:00:00,
12,aunt's House,0,0,0,0:0:0,0,0,0,13:36:49,5,0,0,0:0:0,01:36:55,action,stillUpdate,00:00:00,
12,aunt's House,0,0,0,0:0:0,0,0,0,13:36:49,6,0,0,0:0:0,01:36:56,action,stillUpdate,00:00:00,
12,aunt's House,0,0,0,0:0:0,0,0,0,13:36:49,7,0,0,0:0:0,01:36:57,action,stillUpdate,00:00:00,
12,aunt's House,0,0,0,0:0:0,0,0,0,13:36:49,8,0,0,0:0:0,01:36:58,action,stillUpdate,00:00:00,
12,aunt's House,0,0,0,0:0:0,0,0,0,13:36:49,9,0,0,0:0:0,01:36:59,action,stillUpdate,00:00:00,
12,aunt's House,0,0,0,0:0:0,0,0,0,13:36:49,10,0,0,0:0:0,01:37:02,action,stillUpdate,00:00:00,
12,aunt's House,0,0,0,0:0:0,0,0,0,13:36:49,11,0,0,0:0:0,01:37:03,action,stillUpdate,00:00:00,
12,aunt's House,0,0,0,0:0:0,0,0,0,13:36:50,12,0,0,0:0:0,01:37:06,action,stillUpdate,00:00:01,
12,aunt's House,0,0,0,0:0:0,0,0,0,13:36:52,13,0,0,0:0:0,01:37:11,action,stillUpdate,00:00:02,
12,aunt's House,0,0,0,0:0:0,0,0,0,13:36:58,14,0,0,0:0:0,01:37:18,action,stillUpdate,00:00:06,
